no,name,base_name,costume,rarity,weapon_type,cover,role,position,class_type,school,attack_type,defense_type,street_adaptation,outdoor_adaptation,indoor_adaptation,range,equipment1,equipment2,equipment3,recruit_type,obtain_type,icon_file,icon_label,wiki_url
84,イズミ（正月）,イズミ,正月,★3,MG,×,SPECIAL,BACK,サポーター,ゲヘナ,爆発,軽装備,1S,5D,3B,1000,シューズ,バッジ,ネックレス,○,-,icon/イズミ（正月）.png,イズミ（正月）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%82%BA%E3%83%9F%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
85,イチカ,イチカ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,トリニティ,振動,重装甲,1S,3B,5D,650,帽子,ヘアピン,腕時計,○,-,icon/イチカ.png,イチカ,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%81%E3%82%AB
86,イブキ（水着）,イブキ,水着,★3,SR,×,SPECIAL,BACK,サポーター,ゲヘナ,爆発,特殊装甲,1S,2A,5D,1000,シューズ,バッジ,ネックレス,☆,-,icon/イブキ（水着）.png,イブキ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%96%E3%82%AD%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
87,イロハ,イロハ,,★3,HG,×,SPECIAL,BACK,T.S,ゲヘナ,神秘,重装甲,5D,3B,1S,1000,帽子,バッジ,腕時計,○,-,icon/イロハ.png,イロハ,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%AD%E3%83%8F
88,イロハ（水着）,イロハ,水着,★3,HG,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,爆発,特殊装甲,1S,2A,5D,650,帽子,バッジ,腕時計,☆,-,icon/イロハ（水着）.png,イロハ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A4%E3%83%AD%E3%83%8F%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
89,ウイ,ウイ,,★3,SR,○,STRIKER,BACK,サポーター,トリニティ,爆発,軽装備,3B,1S,5D,750,グローブ,ヘアピン,お守り,○,-,icon/ウイ.png,ウイ,https://bluearchive.wikiru.jp/?%E3%82%A6%E3%82%A4
90,ウイ（水着）,ウイ,水着,★3,SR,○,STRIKER,BACK,サポーター,トリニティ,貫通,弾力装甲,3B,5D,1S,750,シューズ,ヘアピン,お守り,◇,-,icon/ウイ（水着）.png,ウイ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A6%E3%82%A4%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
91,ウタハ（応援団）,ウタハ,応援団,★3,SMG,×,STRIKER,FRONT,アタッカー,ミレニアム,神秘,特殊装甲,5D,3B,1S,450,帽子,ヘアピン,腕時計,○,-,icon/ウタハ（応援団）.png,ウタハ（応援団）,https://bluearchive.wikiru.jp/?%E3%82%A6%E3%82%BF%E3%83%8F%EF%BC%88%E5%BF%9C%E6%8F%B4%E5%9B%A3%EF%BC%89
92,ウミカ,ウミカ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,百鬼夜行,神秘,特殊装甲,3B,1S,5D,650,帽子,ヘアピン,腕時計,○,-,icon/ウミカ_icon2.png,ウミカ_icon2,https://bluearchive.wikiru.jp/?%E3%82%A6%E3%83%9F%E3%82%AB
93,エイミ,エイミ,,★3,SG,×,STRIKER,FRONT,タンク,ミレニアム,爆発,軽装備,1S,3B,5D,350,シューズ,バッグ,お守り,●,○,icon/エイミ.png,エイミ,https://bluearchive.wikiru.jp/?%E3%82%A8%E3%82%A4%E3%83%9F
94,エイミ（水着）,エイミ,水着,★3,SG,×,SPECIAL,BACK,サポーター,ミレニアム,神秘,特殊装甲,5D,1S,3B,1000,シューズ,バッグ,ネックレス,○,-,icon/エイミ（水着）.png,エイミ（水着）,https://bluearchive.wikiru.jp/?%E3%82%A8%E3%82%A4%E3%83%9F%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
95,エイミ（臨戦）,エイミ,臨戦,★3,SR,×,STRIKER,BACK,アタッカー,ミレニアム,爆発,軽装備,1S,3B,5D,750,グローブ,ヘアピン,腕時計,○,-,icon/エイミ（臨戦）.png,エイミ（臨戦）,https://bluearchive.wikiru.jp/?%E3%82%A8%E3%82%A4%E3%83%9F%EF%BC%88%E8%87%A8%E6%88%A6%EF%BC%89
96,エリ,エリ,,★3,SR,○,STRIKER,BACK,アタッカー,ワイルドハント,振動,特殊装甲,1S,3B,5D,750,帽子,ヘアピン,腕時計,○,-,icon/エリ.png,エリ,https://bluearchive.wikiru.jp/?%E3%82%A8%E3%83%AA
97,エリカ,エリカ,,★3,SG,×,SPECIAL,BACK,サポーター,ゲヘナ,振動,軽装備,1S,3B,5D,1000,シューズ,バッグ,ネックレス,○,-,icon/エリカ.png,エリカ,https://bluearchive.wikiru.jp/?%E3%82%A8%E3%83%AA%E3%82%AB
98,カエデ,カエデ,,★3,HG,×,SPECIAL,BACK,サポーター,百鬼夜行,爆発,特殊装甲,1S,5D,3B,1000,シューズ,バッグ,ネックレス,○,○,icon/カエデ_仮icon.png,カエデ_仮icon,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%82%A8%E3%83%87
99,カズサ,カズサ,,★3,MG,×,STRIKER,BACK,アタッカー,トリニティ,貫通,重装甲,1S,5D,3B,750,グローブ,ヘアピン,腕時計,○,-,icon/カズサ_icon2.png,カズサ_icon2,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%82%BA%E3%82%B5
100,カズサ（バンド）,カズサ,バンド,★3,MG,×,STRIKER,BACK,アタッカー,トリニティ,爆発,特殊装甲,3B,1S,5D,750,グローブ,ヘアピン,腕時計,◇,-,icon/カズサ（バンド）.png,カズサ（バンド）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%82%BA%E3%82%B5%EF%BC%88%E3%83%90%E3%83%B3%E3%83%89%EF%BC%89
101,カスミ,カスミ,,★3,HG,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,振動,重装甲,1S,3B,5D,550,グローブ,ヘアピン,腕時計,○,-,icon/カスミ.png,カスミ,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%82%B9%E3%83%9F
102,カノエ,カノエ,,★3,SG,×,STRIKER,FRONT,タンク,ワイルドハント,神秘,重装甲,5D,3B,1S,350,シューズ,バッグ,お守り,○,-,icon/カノエ.png,カノエ,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%8E%E3%82%A8
103,カホ,カホ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,百鬼夜行,神秘,重装甲,3B,1S,5D,650,帽子,ヘアピン,腕時計,○,-,icon/カホ.png,カホ,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%9B
104,カヨコ（正月）,カヨコ,正月,★3,HG,○,STRIKER,MIDDLE,サポーター,ゲヘナ,神秘,特殊装甲,3B,5D,1S,550,シューズ,ヘアピン,お守り,○,-,icon/カヨコ（正月）.png,カヨコ（正月）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%A8%E3%82%B3%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
105,カヨコ（ドレス）,カヨコ,ドレス,★3,HG,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,貫通,軽装備,1S,3B,5D,550,帽子,ヘアピン,腕時計,○,-,icon/カヨコ（ドレス）.png,カヨコ（ドレス）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%A8%E3%82%B3%EF%BC%88%E3%83%89%E3%83%AC%E3%82%B9%EF%BC%89
106,カリン,カリン,,★3,SR,×,SPECIAL,BACK,アタッカー,ミレニアム,貫通,重装甲,5D,1S,3B,1000,帽子,ヘアピン,腕時計,●,○,icon/カリン.png,カリン,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%AA%E3%83%B3
107,カリン（バニーガール）,カリン,バニーガール,★3,SR,○,STRIKER,BACK,アタッカー,ミレニアム,神秘,重装甲,5D,3B,1S,750,帽子,ヘアピン,腕時計,◇,-,icon/カリン（バニーガール）.png,カリン（バニーガール）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%AA%E3%83%B3%EF%BC%88%E3%83%90%E3%83%8B%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%AB%EF%BC%89
108,カンナ,カンナ,,★3,HG,×,SPECIAL,BACK,アタッカー,ヴァルキューレ,貫通,重装甲,1S,5D,3B,1000,グローブ,バッジ,腕時計,○,-,icon/カンナ.png,カンナ,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%B3%E3%83%8A
109,カンナ（水着）,カンナ,水着,★3,HG,○,STRIKER,MIDDLE,サポーター,ヴァルキューレ,爆発,軽装備,5D,1S,3B,550,シューズ,ヘアピン,お守り,○,-,icon/カンナ（水着）.png,カンナ（水着）,https://bluearchive.wikiru.jp/?%E3%82%AB%E3%83%B3%E3%83%8A%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
110,キキョウ,キキョウ,,★3,SR,○,STRIKER,BACK,サポーター,百鬼夜行,振動,重装甲,1S,3B,5D,750,グローブ,ヘアピン,腕時計,○,-,icon/キキョウ.png,キキョウ,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%82%AD%E3%83%A7%E3%82%A6
111,キキョウ（水着）,キキョウ,水着,★3,SR,×,SPECIAL,BACK,サポーター,百鬼夜行,振動,重装甲,1S,3B,5D,1000,シューズ,バッグ,お守り,○,-,icon/キキョウ（水着）.png,キキョウ（水着）,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%82%AD%E3%83%A7%E3%82%A6%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
112,キサキ,キサキ,,★3,SMG,×,SPECIAL,BACK,サポーター,山海経,振動,弾力装甲,3B,5D,1S,1000,シューズ,バッジ,ネックレス,○,-,icon/キサキ_icon_v2.png,キサキ_icon_v2,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%82%B5%E3%82%AD
113,キサキ（水着）,キサキ,水着,★3,SMG,○,STRIKER,FRONT,サポーター,山海経,振動,弾力装甲,1S,5D,3B,550,グローブ,ヘアピン,ネックレス,○,-,icon/キサキ（水着）.png,キサキ（水着）,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%82%B5%E3%82%AD%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
114,キララ,キララ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,振動,軽装備,1S,3B,5D,650,グローブ,バッジ,腕時計,○,-,icon/キララ.png,キララ,https://bluearchive.wikiru.jp/?%E3%82%AD%E3%83%A9%E3%83%A9
115,クルミ,クルミ,,★3,SMG,×,STRIKER,FRONT,タンク,SRT,爆発,軽装備,1S,3B,5D,350,シューズ,バッグ,ネックレス,◇,-,icon/クルミ.png,クルミ,https://bluearchive.wikiru.jp/?%E3%82%AF%E3%83%AB%E3%83%9F
116,ケイ,ケイ,,★3,RG,×,STRIKER,BACK,サポーター,ミレニアム,神秘,複合装甲,1S,5D,2A,850,シューズ,ヘアピン,腕時計,☆,-,icon/ケイ_icon2.png,ケイ_icon2,https://bluearchive.wikiru.jp/?%E3%82%B1%E3%82%A4
117,ココナ,ココナ,,★3,AR,○,STRIKER,MIDDLE,ヒーラー,山海経,貫通,特殊装甲,1S,3B,5D,650,シューズ,ヘアピン,ネックレス,○,-,icon/ココナ.png,ココナ,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%82%B3%E3%83%8A
118,コタマ（キャンプ）,コタマ,キャンプ,★3,HG,○,STRIKER,MIDDLE,サポーター,ミレニアム,貫通,重装甲,3B,1S,5D,550,グローブ,バッジ,ネックレス,○,-,icon/コタマ（キャンプ）.png,コタマ（キャンプ）,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%82%BF%E3%83%9E%EF%BC%88%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%97%EF%BC%89
119,コトリ（応援団）,コトリ,応援団,★3,MG,×,STRIKER,BACK,アタッカー,ミレニアム,爆発,特殊装甲,5D,3B,1S,750,帽子,ヘアピン,腕時計,○,-,icon/コトリ（応援団）.png,コトリ（応援団）,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%88%E3%83%AA%EF%BC%88%E5%BF%9C%E6%8F%B4%E5%9B%A3%EF%BC%89
120,コノカ,コノカ,,★3,SG,×,STRIKER,FRONT,タンク,ヴァルキューレ,神秘,軽装備,1S,3B,5D,350,シューズ,バッグ,お守り,○,-,icon/コノカ.png,コノカ,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%8E%E3%82%AB
121,コハル,コハル,,★3,SR,○,STRIKER,BACK,ヒーラー,トリニティ,爆発,重装甲,5D,1S,3B,750,帽子,ヘアピン,ネックレス,●,○,icon/コハル.png,コハル,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%8F%E3%83%AB
122,コユキ,コユキ,,★3,MG,×,STRIKER,BACK,アタッカー,ミレニアム,神秘,重装甲,1S,5D,3B,750,グローブ,ヘアピン,腕時計,○,-,icon/コユキ.png,コユキ,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%A6%E3%82%AD
123,コユキ（パジャマ）,コユキ,パジャマ,★3,MG,×,SPECIAL,BACK,サポーター,ミレニアム,神秘,軽装備,1S,5D,3B,1000,シューズ,バッジ,腕時計,○,-,icon/コユキ（パジャマ）.png,コユキ（パジャマ）,https://bluearchive.wikiru.jp/?%E3%82%B3%E3%83%A6%E3%82%AD%EF%BC%88%E3%83%91%E3%82%B8%E3%83%A3%E3%83%9E%EF%BC%89
124,サオリ,サオリ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,アリウス,爆発,特殊装甲,3B,5D,1S,650,帽子,ヘアピン,腕時計,○,-,icon/サオリ.png,サオリ,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AA%E3%83%AA
125,サオリ（水着）,サオリ,水着,★3,AR,○,STRIKER,MIDDLE,アタッカー,アリウス,神秘,重装甲,5D,1S,3B,650,グローブ,ヘアピン,腕時計,◇,-,icon/サオリ（水着）.png,サオリ（水着）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AA%E3%83%AA%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
126,サオリ（ドレス）,サオリ,ドレス,★3,AR,×,STRIKER,MIDDLE,アタッカー,アリウス,振動,軽装備,5D,3B,1S,650,帽子,ヘアピン,腕時計,○,-,icon/サオリ（ドレス）.png,サオリ（ドレス）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AA%E3%83%AA%EF%BC%88%E3%83%89%E3%83%AC%E3%82%B9%EF%BC%89
127,サキ,サキ,,★3,MG,×,SPECIAL,BACK,アタッカー,SRT,貫通,特殊装甲,1S,5D,3B,1000,帽子,バッグ,ネックレス,○,-,icon/サキ_icon2.png,サキ_icon2,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AD
128,サキ（水着）,サキ,水着,★3,MG,×,STRIKER,BACK,サポーター,SRT,爆発,重装甲,5D,3B,1S,750,グローブ,ヘアピン,腕時計,○,-,icon/サキ（水着）.png,サキ（水着）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AD%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
129,サクラコ,サクラコ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,トリニティ,神秘,特殊装甲,5D,1S,3B,650,帽子,ヘアピン,腕時計,○,-,icon/サクラコ_icon2.png,サクラコ_icon2,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AF%E3%83%A9%E3%82%B3
130,サクラコ（アイドル）,サクラコ,アイドル,★3,AR,○,STRIKER,MIDDLE,サポーター,トリニティ,爆発,重装甲,5D,1S,3B,650,グローブ,ヘアピン,腕時計,◇,-,icon/サクラコ（アイドル）.png,サクラコ（アイドル）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%82%AF%E3%83%A9%E3%82%B3%EF%BC%88%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%EF%BC%89
131,サツキ,サツキ,,★3,HG,×,SPECIAL,BACK,アタッカー,ゲヘナ,爆発,重装甲,3B,1S,5D,1000,帽子,バッグ,腕時計,○,-,icon/サツキ.png,サツキ,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%83%84%E3%82%AD
132,サツキ（水着）,サツキ,水着,★3,HG,○,STRIKER,MIDDLE,ヒーラー,ゲヘナ,振動,弾力装甲,1S,3B,5D,550,グローブ,ヘアピン,ネックレス,◇,-,icon/サツキ（水着）.png,サツキ（水着）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%83%84%E3%82%AD%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
133,サヤ,サヤ,,★3,HG,×,SPECIAL,BACK,アタッカー,山海経,爆発,軽装備,3B,5D,1S,1000,グローブ,ヘアピン,腕時計,●,○,icon/サヤ.png,サヤ,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%83%A4
134,サヤ（私服）,サヤ,私服,★3,HG,×,SPECIAL,BACK,アタッカー,山海経,貫通,特殊装甲,5D,1S,3B,1000,グローブ,ヘアピン,腕時計,●,○,icon/サヤ（私服）.png,サヤ（私服）,https://bluearchive.wikiru.jp/?%E3%82%B5%E3%83%A4%EF%BC%88%E7%A7%81%E6%9C%8D%EF%BC%89
135,シグレ,シグレ,,★3,GL,○,STRIKER,MIDDLE,アタッカー,レッドウィンター,爆発,重装甲,5D,1S,3B,650,グローブ,ヘアピン,腕時計,○,-,icon/シグレ.png,シグレ,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%82%B0%E3%83%AC
136,シグレ（温泉）,シグレ,温泉,★3,GL,×,SPECIAL,BACK,ヒーラー,レッドウィンター,貫通,特殊装甲,3B,5D,1S,1000,シューズ,バッジ,ネックレス,○,-,icon/シグレ（温泉）.png,シグレ（温泉）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%82%B0%E3%83%AC%EF%BC%88%E6%B8%A9%E6%B3%89%EF%BC%89
137,ジュリ（アルバイト）,ジュリ,アルバイト,★3,SG,×,STRIKER,FRONT,タンク,ゲヘナ,神秘,軽装備,3B,1S,5D,350,シューズ,バッグ,お守り,○,-,icon/ジュリ（アルバイト）.png,ジュリ（アルバイト）,https://bluearchive.wikiru.jp/?%E3%82%B8%E3%83%A5%E3%83%AA%EF%BC%88%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88%EF%BC%89
138,シュン,シュン,,★3,SR,○,STRIKER,BACK,アタッカー,山海経,爆発,軽装備,1S,3B,5D,750,グローブ,ヘアピン,腕時計,●,-,icon/シュン.png,シュン,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%A5%E3%83%B3
139,シュン（幼女）,シュン,幼女,★3,SR,○,STRIKER,BACK,アタッカー,山海経,爆発,軽装備,1S,5D,3B,750,帽子,ヘアピン,腕時計,●,○,icon/シュン（幼女）.png,シュン（幼女）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%A5%E3%83%B3%EF%BC%88%E5%B9%BC%E5%A5%B3%EF%BC%89
140,シュン（水着）,シュン,水着,★3,SR,○,STRIKER,BACK,アタッカー,山海経,振動,軽装備,3B,1S,5D,750,帽子,ヘアピン,腕時計,○,-,icon/シュン（水着）.png,シュン（水着）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%A5%E3%83%B3%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
141,シュン（水着）,シュン,水着,★3,SR,○,STRIKER,BACK,アタッカー,山海経,振動,軽装備,3B,1S,5D,750,帽子,ヘアピン,腕時計,○,-,icon/シュエリン（水着）.png,シュエリン（水着）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%A5%E3%83%B3%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
142,シロコ,シロコ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,アビドス,爆発,軽装備,1S,3B,5D,650,帽子,ヘアピン,腕時計,●,○,icon/シロコ.png,シロコ,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%AD%E3%82%B3
143,シロコ（ライディング）,シロコ,ライディング,★3,AR,○,STRIKER,MIDDLE,アタッカー,アビドス,神秘,重装甲,1S,3B,5D,650,グローブ,バッジ,腕時計,●,○,icon/シロコ（ライディング）.png,シロコ（ライディング）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%AD%E3%82%B3%EF%BC%88%E3%83%A9%E3%82%A4%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%EF%BC%89
144,シロコ（水着）,シロコ,水着,★3,AR,×,SPECIAL,BACK,アタッカー,アビドス,神秘,軽装備,3B,1S,5D,1000,帽子,バッグ,腕時計,○,-,icon/シロコ（水着）.png,シロコ（水着）,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%AD%E3%82%B3%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
145,シロコ＊テラー,シロコ＊テラー,,★3,AR,×,STRIKER,MIDDLE,アタッカー,アビドス,神秘,特殊装甲,5D,1S,2A,650,帽子,バッジ,腕時計,☆,-,icon/シロコ＊テラー.png,シロコ＊テラー,https://bluearchive.wikiru.jp/?%E3%82%B7%E3%83%AD%E3%82%B3%EF%BC%8A%E3%83%86%E3%83%A9%E3%83%BC
146,スズミ（マジカル）,スズミ,マジカル,★3,AR,○,STRIKER,MIDDLE,サポーター,トリニティ,振動,特殊装甲,1S,5D,3B,650,グローブ,ヘアピン,腕時計,◇,-,icon/スズミ（マジカル）.png,スズミ（マジカル）,https://bluearchive.wikiru.jp/?%E3%82%B9%E3%82%BA%E3%83%9F%EF%BC%88%E3%83%9E%E3%82%B8%E3%82%AB%E3%83%AB%EF%BC%89
147,スバル,スバル,,★3,AR,○,STRIKER,MIDDLE,アタッカー,アリウス,神秘,特殊装甲,1S,5D,3B,650,帽子,ヘアピン,腕時計,○,-,icon/スバル.png,スバル,https://bluearchive.wikiru.jp/?%E3%82%B9%E3%83%90%E3%83%AB
148,スミレ,スミレ,,★3,SG,×,STRIKER,FRONT,アタッカー,ミレニアム,貫通,特殊装甲,3B,5D,1S,450,帽子,バッグ,お守り,●,○,icon/スミレ.png,スミレ,https://bluearchive.wikiru.jp/?%E3%82%B9%E3%83%9F%E3%83%AC
149,スミレ（アルバイト）,スミレ,アルバイト,★3,SG,×,SPECIAL,BACK,サポーター,ミレニアム,貫通,軽装備,3B,1S,5D,1000,グローブ,バッグ,腕時計,○,-,icon/スミレ（アルバイト）.png,スミレ（アルバイト）,https://bluearchive.wikiru.jp/?%E3%82%B9%E3%83%9F%E3%83%AC%EF%BC%88%E3%82%A2%E3%83%AB%E3%83%90%E3%82%A4%E3%83%88%EF%BC%89
150,セイア,セイア,,★3,HG,○,STRIKER,MIDDLE,サポーター,トリニティ,貫通,弾力装甲,3B,5D,1S,550,シューズ,ヘアピン,ネックレス,◇,-,icon/セイア_icon_立ち絵準拠.png,セイア_icon_立ち絵準拠,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%82%A4%E3%82%A2
151,セイア（水着）,セイア,水着,★3,HG,○,STRIKER,MIDDLE,サポーター,トリニティ,貫通,特殊装甲,1S,3B,5D,550,グローブ,ヘアピン,ネックレス,◇,-,icon/セイア（水着）.png,セイア（水着）,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%82%A4%E3%82%A2%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
152,セナ,セナ,,★3,GL,×,SPECIAL,BACK,T.S,ゲヘナ,神秘,軽装備,3B,1S,5D,1000,シューズ,ヘアピン,ネックレス,●,○,icon/セナ.png,セナ,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%8A
153,セナ（私服）,セナ,私服,★3,GL,○,STRIKER,MIDDLE,ヒーラー,ゲヘナ,振動,重装甲,1S,3B,5D,650,グローブ,ヘアピン,ネックレス,○,-,icon/セナ（私服）.png,セナ（私服）,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%8A%EF%BC%88%E7%A7%81%E6%9C%8D%EF%BC%89
154,セリカ（正月）,セリカ,正月,★3,AR,×,SPECIAL,BACK,サポーター,アビドス,貫通,特殊装甲,4C,4C,1S,1000,シューズ,バッグ,腕時計,●,○,icon/セリカ（正月）.png,セリカ（正月）,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%AA%E3%82%AB%EF%BC%88%E6%AD%A3%E6%9C%88%EF%BC%89
155,セリカ（水着）,セリカ,水着,★3,AR,×,SPECIAL,BACK,アタッカー,アビドス,神秘,重装甲,5D,3B,1S,1000,グローブ,バッグ,腕時計,○,-,icon/セリカ（水着）.png,セリカ（水着）,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%AA%E3%82%AB%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
156,セリナ（クリスマス）,セリナ,クリスマス,★3,AR,○,STRIKER,MIDDLE,サポーター,トリニティ,貫通,特殊装甲,5D,1S,3B,650,シューズ,ヘアピン,お守り,○,-,icon/セリナ（クリスマス）.png,セリナ（クリスマス）,https://bluearchive.wikiru.jp/?%E3%82%BB%E3%83%AA%E3%83%8A%EF%BC%88%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%EF%BC%89
157,タカネ,タカネ,,★3,HG,○,STRIKER,MIDDLE,ヒーラー,レッドウィンター,神秘,軽装備,3B,5D,1S,550,シューズ,ヘアピン,ネックレス,○,-,icon/タカネ.png,タカネ,https://bluearchive.wikiru.jp/?%E3%82%BF%E3%82%AB%E3%83%8D
158,チアキ,チアキ,,★3,AR,○,STRIKER,MIDDLE,アタッカー,ゲヘナ,振動,特殊装甲,1S,5D,3B,650,帽子,ヘアピン,お守り,○,-,icon/チアキ.png,チアキ,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%A2%E3%82%AD
159,チェリノ,チェリノ,,★3,HG,○,STRIKER,MIDDLE,アタッカー,レッドウィンター,貫通,軽装備,3B,1S,5D,550,シューズ,バッジ,腕時計,●,○,icon/チェリノ.png,チェリノ,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%A7%E3%83%AA%E3%83%8E
160,チェリノ（温泉）,チェリノ,温泉,★3,HG,×,SPECIAL,BACK,T.S,レッドウィンター,爆発,重装甲,1S,3B,5D,1000,帽子,ヘアピン,腕時計,●,○,icon/チェリノ（温泉）.png,チェリノ（温泉）,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%A7%E3%83%AA%E3%83%8E%EF%BC%88%E6%B8%A9%E6%B3%89%EF%BC%89
161,チセ（水着）,チセ,水着,★3,GL,○,STRIKER,MIDDLE,サポーター,百鬼夜行,神秘,軽装備,3B,1S,5D,650,帽子,ヘアピン,ネックレス,◇,-,icon/チセ（水着）.png,チセ（水着）,https://bluearchive.wikiru.jp/?%E3%83%81%E3%82%BB%EF%BC%88%E6%B0%B4%E7%9D%80%EF%BC%89
162,チナツ（温泉）,チナツ,温泉,★3,HG,○,STRIKER,MIDDLE,サポーター,ゲヘナ,神秘,軽装備,5D,3B,1S,650,シューズ,バッジ,お守り,●,○,icon/チナツ（温泉）.png,チナツ（温泉）,https://bluearchive.wikiru.jp/?%E3%83%81%E3%83%8A%E3%83%84%EF%BC%88%E6%B8%A9%E6%B3%89%EF%BC%89
163,チヒロ,チヒロ,,★3,AR,×,SPECIAL,BACK,アタッカー,ミレニアム,貫通,重装甲,1S,5D,3B,1000,帽子,バッジ,ネックレス,●,○,icon/チヒロ.png,チヒロ,https://bluearchive.wikiru.jp/?%E3%83%81%E3%83%92%E3%83%AD
164,ツクヨ,ツクヨ,,★3,SMG,○,STRIKER,FRONT,タンク,百鬼夜行,神秘,軽装備,3B,5D,1S,350,シューズ,バッジ,お守り,○,○,icon/ツクヨ.png,ツクヨ,https://bluearchive.wikiru.jp/?%E3%83%84%E3%82%AF%E3%83%A8
